Time,Temperature,Pressure,Time,Temperature,Pressure
716,77.5733584186,117.68122535,,,
717,77.5733584186,117.618102792,,,
718,77.5733584186,117.554980235,,,
719,77.5733584186,117.618102792,,,
720,77.5733584186,117.870593022,,,
721,77.6298769387,117.870593022,,,
722,77.6298769387,117.618102792,,,
723,77.6298769387,117.554980235,,,
724,77.6298769387,117.807470465,,,
725,77.6298769387,117.93371558,,,
726,77.6298769387,117.870593022,,,
727,77.6864833094,117.618102792,,,
728,77.6864833094,117.870593022,,,
729,77.6864833094,117.618102792,,,
730,77.6864833094,117.870593022,,,
731,77.7431778341,118.056015535,,,
732,77.7999608176,118.18226065,,,
733,77.7999608176,117.93371558,,,
734,77.8568325664,117.554980235,,,
735,77.8568325664,117.618102792,,,
736,77.8568325664,117.744347907,,,
737,77.8568325664,117.554980235,,,
738,77.8568325664,117.870593022,,,
739,77.8568325664,117.807470465,,,
740,77.8568325664,117.554980235,,,
741,77.8568325664,117.554980235,,,
742,77.8568325664,117.807470465,,,
743,77.8568325664,117.618102792,,,
744,77.8568325664,117.618102792,,,
745,77.9102307214,117.68122535,,,
746,77.8568325664,117.807470465,,,
747,77.9102307214,117.618102792,,,
748,77.9102307214,117.807470465,,,
749,77.9102307214,117.618102792,,,
750,77.9102307214,117.491857677,,,
751,77.9102307214,117.870593022,,,
752,77.9102307214,117.807470465,,,
753,77.9672753302,117.744347907,,,
754,77.9672753302,117.93371558,,,
755,78.024409613,117.870593022,,,
756,78.024409613,117.870593022,,,
757,78.024409613,117.807470465,,,
758,78.024409613,117.68122535,,,
759,78.024409613,117.618102792,,,
760,78.024409613,117.554980235,,,
761,78.024409613,117.554980235,,,
762,78.024409613,117.618102792,,,
763,78.024409613,118.056015535,,,
764,78.0816338822,117.870593022,,,
765,78.024409613,117.68122535,,,
766,78.0816338822,117.870593022,,,
767,78.0816338822,117.807470465,,,
768,78.0816338822,117.618102792,,,
769,78.1389484517,117.68122535,,,
770,78.1389484517,117.807470465,,,
